task,baseline,candidate,budget_method,bias,true_bias,mean,U_lower,U_p,betting_p,bias_covers,queries,U_BY,U_retained,betting_BY,betting_retained
appliances,seasonal_day,extra_trees,pooled_square_subgamma,0.005524696033821859,0.0001769101764418,0.0354971503027295,0.025196951269230095,0.0002299605781866439,0.0002299605781865966,True,32768,0.0012500000012190375,True,0.0010912647730548879,True
appliances,seasonal_day,extra_trees,pooled_square_exact_mgf,0.005032294648516632,0.0001769101764418,0.0354971503027295,0.02568935265453532,0.00022996057818661922,0.0002299605781865966,True,32768,0.0012500000006093507,True,0.001008305221307745,True
appliances,seasonal_day,category_copy,pooled_square_subgamma,0.005027835156849632,-3.959853281282102e-06,1.701784889833053e-06,-0.009716551184495686,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,seasonal_day,category_copy,pooled_square_exact_mgf,0.004535433771544405,-3.959853281282102e-06,1.701784889833053e-06,-0.009224149799190458,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,seasonal_day,independent_noise,pooled_square_subgamma,0.005088770178545488,-5.639773559680883e-05,0.0013221414796053,-0.009288636173487744,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,seasonal_day,independent_noise,pooled_square_exact_mgf,0.004596368793240262,-5.639773559680883e-05,0.0013221414796053,-0.00879623478818252,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,persistence,pooled_square_subgamma,0.005822756981219283,7.245005586676111e-05,0.001175083846362,-0.00962982566365034,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,persistence,pooled_square_exact_mgf,0.0050196368523064095,7.245005586676111e-05,0.001175083846362,-0.008826705534737467,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,seasonal_day,pooled_square_subgamma,0.005822135095926463,8.084950255568306e-05,0.0007709669357239,-0.010162807714841404,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,seasonal_day,pooled_square_exact_mgf,0.0050190149670135895,8.084950255568306e-05,0.0007709669357239,-0.00935968758592853,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,seasonal_week,pooled_square_subgamma,0.006027226643520865,4.246633897126974e-05,0.0011555677205867,-0.009855139595748259,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,seasonal_week,pooled_square_exact_mgf,0.0052241065146079926,4.246633897126974e-05,0.0011555677205867,-0.009052019466835384,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,ridge_full,pooled_square_subgamma,0.005591913521547871,5.870440647663937e-05,0.000322601677945,-0.010340293798373826,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,ridge_full,pooled_square_exact_mgf,0.004788793392634998,5.870440647663937e-05,0.000322601677945,-0.009537173669460951,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,hist_gradient_boosting,pooled_square_subgamma,0.005783714242325437,8.134683763334741e-05,0.0043199664143034,-0.006532808563522786,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,hist_gradient_boosting,pooled_square_exact_mgf,0.004980594113412564,8.134683763334741e-05,0.0043199664143034,-0.0057296884346099124,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,extra_trees,pooled_square_subgamma,0.005710666915715453,7.659221525672239e-05,0.0040829764012157,-0.006684338839701543,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,extra_trees,pooled_square_exact_mgf,0.00490754678680258,7.659221525672239e-05,0.0040829764012157,-0.005881218710788671,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,category_copy,pooled_square_subgamma,0.005533517082431333,5.750468389885833e-05,2.56068229007238e-05,-0.010565339973401821,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,category_copy,pooled_square_exact_mgf,0.00473039695351846,5.750468389885833e-05,2.56068229007238e-05,-0.009762219844488948,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,independent_noise,pooled_square_subgamma,0.005894949716935027,-1.969579714592372e-06,0.0003528126828039,-0.010247739464098043,1.0,1.0,True,32768,1.0,False,1.0,False
metro,ridge,independent_noise,pooled_square_exact_mgf,0.005091829588022154,-1.969579714592372e-06,0.0003528126828039,-0.009444619335185171,1.0,1.0,True,32768,1.0,False,1.0,False
metro,seasonal_day,persistence,pooled_square_subgamma,0.0053250916354624,6.666733243635202e-05,0.0139012179784135,0.003504607075534288,0.0015126187353725717,0.00022996057818707423,True,32768,0.010962884358271684,True,0.001001760469074934,True
metro,seasonal_day,persistence,pooled_square_exact_mgf,0.004711805600152884,6.666733243635202e-05,0.0139012179784135,0.004117893110843803,0.0008835236017276933,0.00022996057818659756,True,32768,0.006403442484902614,True,0.001000026932781852,True
metro,seasonal_day,seasonal_day,pooled_square_subgamma,0.0051229885990963404,1.734700299072258e-05,0.0003074710375453,-0.010146026841932505,1.0,1.0,True,32768,1.0,False,1.0,False
metro,seasonal_day,seasonal_day,pooled_square_exact_mgf,0.004509702563786824,1.734700299072258e-05,0.0003074710375453,-0.009532740806622989,1.0,1.0,True,32768,1.0,False,1.0,False
metro,seasonal_day,seasonal_week,pooled_square_subgamma,0.005293898954823236,6.887472883132623e-05,0.0133727994137194,0.002898304210417516,0.0028969359640406756,0.0002299605853050349,True,32768,0.015746916204535385,True,0.001001760469074934,True
metro,seasonal_day,seasonal_week,pooled_square_exact_mgf,0.00468061291951372,6.887472883132623e-05,0.0133727994137194,0.0035115902457270327,0.0016237874449901576,0.00022996057822296864,True,32768,0.008826444611696498,True,0.001000026932781852,True
metro,seasonal_day,ridge_full,pooled_square_subgamma,0.0051033821888442285,6.289322518503334e-05,0.011353254192123,0.0011463648972034274,0.016152669494484944,0.00023036541667294808,True,32768,0.07024103705887452,False,0.001001760469074934,True
metro,seasonal_day,ridge_full,pooled_square_exact_mgf,0.004490096153534712,6.289322518503334e-05,0.011353254192123,0.0017596509325129442,0.008723023297689326,0.00022996677166468345,True,32768,0.03793268988309472,True,0.001000026932781852,True
metro,seasonal_day,hist_gradient_boosting,pooled_square_subgamma,0.005039726493332735,6.528208141962624e-05,0.0152388155239906,0.004977697315336916,0.0005226501840528625,0.0002299605781865966,True,32768,0.006465671496468635,True,0.001001760469074934,True
metro,seasonal_day,hist_gradient_boosting,pooled_square_exact_mgf,0.0044264404580232185,6.528208141962624e-05,0.0152388155239906,0.005590983350646433,0.0003795903005950448,0.0002299605781865966,True,32768,0.004533732851310234,True,0.001000026932781852,True
metro,seasonal_day,extra_trees,pooled_square_subgamma,0.005052664840521352,6.764322213999476e-05,0.0150586807846315,0.004781870838083479,0.0005947398222770099,0.00022996057818659718,True,32768,0.006465671496468635,True,0.001001760469074934,True
metro,seasonal_day,extra_trees,pooled_square_exact_mgf,0.004439378805211836,6.764322213999476e-05,0.0150586807846315,0.005395156873392996,0.00041703193113234744,0.0002299605781865966,True,32768,0.004533732851310234,True,0.001000026932781852,True
metro,seasonal_day,category_copy,pooled_square_subgamma,0.005018152124049472,1.55214754814039e-05,9.253147453251348e-07,-0.01030050118129196,1.0,1.0,True,32768,1.0,False,1.0,False
metro,seasonal_day,category_copy,pooled_square_exact_mgf,0.004404866088739955,1.55214754814039e-05,9.253147453251348e-07,-0.009687215145982444,1.0,1.0,True,32768,1.0,False,1.0,False
metro,seasonal_day,independent_noise,pooled_square_subgamma,0.005436917028168254,-1.3991164608003948e-05,-0.0011877164741679,-0.011160524402817581,1.0,1.0,True,32768,1.0,False,1.0,False
metro,seasonal_day,independent_noise,pooled_square_exact_mgf,0.004823630992858738,-1.3991164608003948e-05,-0.0011877164741679,-0.010547238367508066,1.0,1.0,True,32768,1.0,False,1.0,False
