IDLink,publication,available,comparator,gain_unavailable_zero
54798,2016-06-07 10:18:08,True,baseline,-0.000786105196265739
54924,2016-06-07 21:01:06,True,baseline,-0.003955682512914161
54933,2016-06-07 21:20:12,True,baseline,0.0016853449693843385
54932,2016-06-07 22:06:08,True,baseline,-0.003185155256544445
54939,2016-06-07 22:27:12,True,baseline,0.0036319683435546935
54949,2016-06-07 22:50:14,True,baseline,0.007393466740312275
55212,2016-06-08 21:46:08,True,baseline,-0.00023537296765815258
55225,2016-06-08 22:04:13,True,baseline,-0.004406623299788706
55227,2016-06-08 22:20:07,True,baseline,0.00045193001736431844
55232,2016-06-08 22:45:09,True,baseline,0.0005056740220002031
55231,2016-06-08 23:31:07,True,baseline,0.004483668383223539
55234,2016-06-08 23:40:07,True,baseline,0.0077085253384256616
55236,2016-06-08 23:50:11,True,baseline,0.0011242379949464448
55235,2016-06-08 23:59:10,True,baseline,0.0030005315725255433
55238,2016-06-09 00:20:06,True,baseline,0.00826538518697444
55241,2016-06-09 00:20:07,True,baseline,0.018340436916135756
55242,2016-06-09 00:20:07,True,baseline,0.020206525002587388
55245,2016-06-09 00:40:07,True,baseline,-0.007257465871360093
55239,2016-06-09 00:47:09,True,baseline,-3.3457810184454005e-05
55251,2016-06-09 01:00:09,True,baseline,-0.0015774421101982274
55250,2016-06-09 01:41:07,True,baseline,0.01810011415896467
55255,2016-06-09 02:28:10,True,baseline,0.006648807543146829
55253,2016-06-09 02:35:09,True,baseline,0.007279451179721907
55661,2016-06-10 19:40:07,True,baseline,-0.002472374061499305
55663,2016-06-10 19:49:12,True,baseline,0.009729198517212476
55659,2016-06-10 20:13:07,True,baseline,-0.017504991432792244
57577,2016-06-18 21:15:03,True,baseline,0.00015056964221044902
57588,2016-06-18 21:40:03,True,baseline,-0.01416705228468923
57585,2016-06-18 22:13:10,True,baseline,-0.013446151184676257
57591,2016-06-18 22:40:03,True,baseline,0.0029191098848868613
57592,2016-06-18 22:40:07,True,baseline,-0.00516318536458691
57612,2016-06-19 05:32:04,True,baseline,-2.5233764529679416e-05
57629,2016-06-19 07:05:04,True,baseline,-0.004026240588455771
57624,2016-06-19 07:20:03,True,baseline,0.007449122244938797
57625,2016-06-19 07:24:04,True,baseline,0.002651987293774469
57635,2016-06-19 07:52:03,True,baseline,0.004474943499885498
57641,2016-06-19 08:20:08,True,baseline,2.8765045231202505e-05
57640,2016-06-19 09:04:06,True,baseline,0.008459924930897214
57638,2016-06-19 09:13:03,True,baseline,-0.0001285762570305789
57645,2016-06-19 09:16:03,True,baseline,-0.006501514746890915
57659,2016-06-19 10:40:13,True,baseline,0.005719197589141053
57664,2016-06-19 11:00:04,True,baseline,-0.0011473939227151925
57660,2016-06-19 11:06:13,True,baseline,-0.0113544509443332
57665,2016-06-19 11:31:06,True,baseline,-0.006463410646928926
57668,2016-06-19 11:40:03,True,baseline,0.04794343131198481
57672,2016-06-19 12:00:07,True,baseline,-0.010452508227637474
57708,2016-06-19 20:36:03,True,baseline,0.020791552240797706
57719,2016-06-19 22:02:03,True,baseline,0.017552978929878088
57721,2016-06-19 22:11:07,True,baseline,-0.004929969258753462
57723,2016-06-19 22:36:03,True,baseline,0.00019856617260459073
57725,2016-06-19 22:44:14,True,baseline,0.013524724238908187
57726,2016-06-19 22:55:15,True,baseline,0.0001463534791292866
57727,2016-06-19 22:56:04,True,baseline,-0.009201620821924491
57730,2016-06-19 23:03:03,True,baseline,0.01478317437708513
57737,2016-06-19 23:20:06,True,baseline,-0.008293290851715419
57735,2016-06-20 00:03:03,True,baseline,-0.005779499200336154
57738,2016-06-20 00:05:03,True,baseline,-0.012884077978471194
57744,2016-06-20 00:40:03,True,baseline,-0.005663462457591008
57739,2016-06-20 00:49:05,True,baseline,-0.009628382627327098
57743,2016-06-20 01:17:03,True,baseline,0.04967534557910745
57747,2016-06-20 01:17:03,True,baseline,0.0011089065266675358
57749,2016-06-20 01:20:06,True,baseline,-0.01820014685507531
57751,2016-06-20 01:40:04,True,baseline,-0.009941321715302064
57752,2016-06-20 01:40:05,True,baseline,0.004260355288928139
57755,2016-06-20 02:42:06,True,baseline,0.004370628021144865
57758,2016-06-20 03:40:04,True,baseline,-1.1642793743679367e-06
57761,2016-06-20 03:40:07,True,baseline,-0.00839767186910004
57759,2016-06-20 03:56:04,True,baseline,0.0050200402484203155
57766,2016-06-20 04:42:07,True,baseline,-0.00048460449969916944
57770,2016-06-20 05:34:04,True,baseline,0.00326842089092445
57778,2016-06-20 06:35:04,True,baseline,0.003868311337456687
57791,2016-06-20 07:20:04,True,baseline,0.007105863877103987
57784,2016-06-20 07:35:09,True,baseline,0.001632620444115072
57785,2016-06-20 07:46:04,True,baseline,5.6958310823464046e-05
57794,2016-06-20 08:01:05,True,baseline,0.0011755168035381893
57798,2016-06-20 08:22:04,True,baseline,-0.008149006302505365
