candidate,design,target,reference_interaction,expected_shared_score,overlap_matrix,overlap_matrix_sum,population_covariance,reference_covariance
boosting_7,crossed,0.00045613609800800037,0.005886819415435812,0.006342955513443813,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08092116582639468, 0.08315996170153468], [0.08062584303455965, 0.08332077500770765]]","[[0.13531433508292562, 0.15829721322732948], [0.13446104273914578, 0.1641840326427653]]"
boosting_31,shared,0.0005832979685237161,0.00848380029898177,0.009067098267505486,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08096346755481815, 0.08307510155944244], [0.08062584303455965, 0.08332077500770765]]","[[0.13508059749856635, 0.1563197871032041], [0.13446104273914578, 0.1641840326427653]]"
boosting_31,separate,0.0005832979685237161,0.0,0.0005832979685237161,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08096346755481815, 0.08307510155944244], [0.08062584303455965, 0.08332077500770765]]","[[0.13508059749856635, 0.1563197871032041], [0.13446104273914578, 0.1641840326427653]]"
boosting_31,crossed,0.0005832979685237161,0.007864245539561193,0.00844754350808491,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08096346755481815, 0.08307510155944244], [0.08062584303455965, 0.08332077500770765]]","[[0.13508059749856635, 0.1563197871032041], [0.13446104273914578, 0.1641840326427653]]"
blend_ridge_1,shared,0.00043077559577360536,0.007740054800759649,0.008170830396533255,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08086314212669733, 0.08312729850407173], [0.08062584303455965, 0.08332077500770765]]","[[0.1354593750807756, 0.15744231018363547], [0.13446104273914578, 0.1641840326427653]]"
blend_ridge_1,separate,0.00043077559577360536,0.0,0.00043077559577360536,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08086314212669733, 0.08312729850407173], [0.08062584303455965, 0.08332077500770765]]","[[0.1354593750807756, 0.15744231018363547], [0.13446104273914578, 0.1641840326427653]]"
blend_ridge_1,crossed,0.00043077559577360536,0.006741722459129823,0.007172498054903428,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08086314212669733, 0.08312729850407173], [0.08062584303455965, 0.08332077500770765]]","[[0.1354593750807756, 0.15744231018363547], [0.13446104273914578, 0.1641840326427653]]"
blend_boosting_7,shared,0.00023081778969417932,0.003136712948813153,0.003367530738507332,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08081705429090583, 0.08328116847435965], [0.08062584303455965, 0.08332077500770765]]","[[0.13525311565192447, 0.16183939260673083], [0.13446104273914578, 0.1641840326427653]]"
blend_boosting_7,separate,0.00023081778969417932,0.0,0.00023081778969417932,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08081705429090583, 0.08328116847435965], [0.08062584303455965, 0.08332077500770765]]","[[0.13525311565192447, 0.16183939260673083], [0.13446104273914578, 0.1641840326427653]]"
blend_boosting_7,crossed,0.00023081778969417932,0.002344640036034462,0.0025754578257286415,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08081705429090583, 0.08328116847435965], [0.08062584303455965, 0.08332077500770765]]","[[0.13525311565192447, 0.16183939260673083], [0.13446104273914578, 0.1641840326427653]]"
blend_boosting_31,shared,0.0002707836823854781,0.003984313297278802,0.00425509697966428,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08084063083068552, 0.08326477912144804], [0.08062584303455965, 0.08332077500770765]]","[[0.13521213585251424, 0.16095081245885495], [0.13446104273914578, 0.1641840326427653]]"
blend_boosting_31,separate,0.0002707836823854781,0.0,0.0002707836823854781,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08084063083068552, 0.08326477912144804], [0.08062584303455965, 0.08332077500770765]]","[[0.13521213585251424, 0.16095081245885495], [0.13446104273914578, 0.1641840326427653]]"
blend_boosting_31,crossed,0.0002707836823854781,0.0032332201839103403,0.0035040038662958184,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08084063083068552, 0.08326477912144804], [0.08062584303455965, 0.08332077500770765]]","[[0.13521213585251424, 0.16095081245885495], [0.13446104273914578, 0.1641840326427653]]"
