replication,candidate,design,mean_score,mean_interaction,lower,target,noncoverage,positive,raw_lower,raw_noncoverage
182,ridge_100,full_u,0.0002712673611111111,0.0,-0.00506375042259436,0.000816830204686772,False,False,-0.00506375042259436,False
182,ridge_100,shared,0.00634765625,0.01611328125,-0.14608386419634767,0.000816830204686772,False,False,-0.021607417194732907,False
182,ridge_100,separate,0.0,0.0,-0.019989694651493757,0.000816830204686772,False,False,-0.019989694651493757,False
182,ridge_100,crossed,0.0068359375,0.008544921875,-0.08899791818285999,0.000816830204686772,False,False,-0.020983224260881846,False
182,boosting_7,full_u,0.00016276041666666666,0.0,-0.005014104105331926,0.00045613609800800037,False,False,-0.005014104105331926,False
182,boosting_7,shared,0.003662109375,0.00830078125,-0.13671739320559423,0.00045613609800800037,False,False,-0.02249653966570505,False
182,boosting_7,separate,0.0,0.0,-0.019989694651493757,0.00045613609800800037,False,False,-0.019989694651493757,False
182,boosting_7,crossed,0.006103515625,0.004638671875,-0.08289564263525322,0.00045613609800800037,False,False,-0.021131359107818874,False
182,boosting_31,full_u,0.00027126736111111107,0.0,-0.004972503845261207,0.0005832979685237161,False,False,-0.004972503845261207,False
182,boosting_31,shared,0.001953125,0.00537109375,-0.1320402613422102,0.0005832979685237161,False,False,-0.022490455397253934,False
182,boosting_31,separate,0.0,0.0,-0.019989694651493757,0.0005832979685237161,False,False,-0.019989694651493757,False
182,boosting_31,crossed,0.005859375,0.003662109375,-0.08084816773312505,0.0005832979685237161,False,False,-0.020814204878528666,False
182,blend_ridge_1,full_u,0.0003797743055555555,0.0,-0.004796633500755052,0.00043077559577360536,False,False,-0.004796633500755052,False
182,blend_ridge_1,shared,0.00439453125,0.00927734375,-0.13715373467397013,0.00043077559577360536,False,False,-0.02244312346889547,False
182,blend_ridge_1,separate,0.0,0.0,-0.019989694651493757,0.00043077559577360536,False,False,-0.019989694651493757,False
182,blend_ridge_1,crossed,0.00390625,0.003662109375,-0.08210745179495108,0.00043077559577360536,False,False,-0.022122608655261715,False
182,blend_boosting_7,full_u,5.425347222222221e-05,0.0,-0.005048880297420509,0.00023081778969417932,False,False,-0.005048880297420509,False
182,blend_boosting_7,shared,0.000732421875,0.00439453125,-0.12969617684716211,0.00023081778969417932,False,False,-0.02287219009050087,False
182,blend_boosting_7,separate,0.0,0.0,-0.019989694651493757,0.00023081778969417932,False,False,-0.019989694651493757,False
182,blend_boosting_7,crossed,0.001220703125,0.002685546875,-0.08007651688186859,0.00023081778969417932,False,False,-0.022080773733301282,False
182,blend_boosting_31,full_u,0.00016276041666666666,0.0,-0.005014104105331926,0.0002707836823854781,False,False,-0.005014104105331926,False
182,blend_boosting_31,shared,0.0009765625,0.00537109375,-0.13090183760540355,0.0002707836823854781,False,False,-0.022403616778255187,False
182,blend_boosting_31,separate,0.0,0.0,-0.019989694651493757,0.0002707836823854781,False,False,-0.019989694651493757,False
182,blend_boosting_31,crossed,0.0029296875,0.002685546875,-0.07959171219083114,0.0002707836823854781,False,False,-0.02150930457240787,False
183,persistence,full_u,0.0,0.0,-0.004440707411178742,0.0,False,False,-0.004440707411178742,False
183,persistence,shared,0.0,0.0,-0.11584889500888598,0.0,False,False,-0.019989694651493757,False
183,persistence,separate,0.0,0.0,-0.019989694651493757,0.0,False,False,-0.019989694651493757,False
183,persistence,crossed,0.0,0.0,-0.06950027569168209,0.0,False,False,-0.019989694651493757,False
183,ridge_1,full_u,0.0016004774305555553,0.0,-0.004247159132741055,0.0009017031810412968,False,False,-0.004247159132741055,False
183,ridge_1,shared,0.018798828125,0.012451171875,-0.13451021408506064,0.0009017031810412968,False,False,-0.01394736443949314,False
183,ridge_1,separate,-0.0009765625,0.0,-0.02597529875746916,0.0009017031810412968,False,False,-0.02597529875746916,False
183,ridge_1,crossed,0.017578125,0.020263671875,-0.09906628151821462,0.0009017031810412968,False,False,-0.014660505859399736,False
183,ridge_100,full_u,0.0015462239583333333,0.0,-0.004283295114276099,0.000816830204686772,False,False,-0.004283295114276099,False
183,ridge_100,shared,0.018798828125,0.013427734375,-0.1358873156550163,0.000816830204686772,False,False,-0.01394736443949314,False
183,ridge_100,separate,0.0,0.0,-0.02577457931755227,0.000816830204686772,False,False,-0.02577457931755227,False
183,ridge_100,crossed,0.01953125,0.020263671875,-0.09780288825416439,0.000816830204686772,False,False,-0.013348283786946628,False
183,boosting_7,full_u,0.0006781684027777776,0.0,-0.004568243080556602,0.00045613609800800037,False,False,-0.004568243080556602,False
183,boosting_7,shared,0.012451171875,0.006591796875,-0.12904723554101827,0.00045613609800800037,False,False,-0.017673942646292344,False
183,boosting_7,separate,-0.001953125,0.0,-0.026029354215470098,0.00045613609800800037,False,False,-0.026029354215470098,False
183,boosting_7,crossed,0.0107421875,0.010986328125,-0.09025428172650334,0.00045613609800800037,False,False,-0.018843633459751836,False
183,boosting_31,full_u,0.0008409288194444444,0.0,-0.004617101719931729,0.0005832979685237161,False,False,-0.004617101719931729,False
183,boosting_31,shared,0.013916015625,0.005615234375,-0.12684157124441187,0.0005832979685237161,False,False,-0.016988269746946474,False
183,boosting_31,separate,-0.0009765625,0.0,-0.02597529875746916,0.0005832979685237161,False,False,-0.02597529875746916,False
183,boosting_31,crossed,0.01220703125,0.010009765625,-0.08823016261998598,0.0005832979685237161,False,False,-0.01820044090023535,False
183,blend_ridge_1,full_u,0.0005696614583333334,0.0,-0.004556056360232837,0.00043077559577360536,False,False,-0.004556056360232837,False
183,blend_ridge_1,shared,0.010498046875,0.008056640625,-0.1329151798072558,0.00043077559577360536,False,False,-0.0192788990589455,False
183,blend_ridge_1,separate,0.0,0.0,-0.02408022582724581,0.00043077559577360536,False,False,-0.02408022582724581,False
