replication,candidate,design,target,mean_score,interaction,corrected_center,evaluation_radius,validation_radius,lower,score_range_width,interaction_range_width,noncoverage,detection
248,blend_boosting_31,full_u,0.00037400296707478946,-5.425347222222222e-05,0.0,-5.425347222222222e-05,0.004973557387372487,0.0,-0.005027810859594709,0.6666666666666666,0.0,0,0
249,persistence,shared,0.0,0.0,0.0,0.0,0.023151656374478195,0.09269723863440779,-0.11584889500888598,2.0,4.0,0,0
249,persistence,separate,0.0,0.0,0.0,0.0,0.019989694651493757,0.0,-0.019989694651493757,2.0,0.0,0,0
249,persistence,crossed,0.0,0.0,0.0,0.0,0.023151656374478195,0.046348619317203896,-0.06950027569168209,2.0,2.0,0,0
249,persistence,full_u,0.0,0.0,0.0,0.0,0.004440707411178743,0.0,-0.004440707411178743,0.6666666666666666,0.0,0,0
249,ridge_1,shared,0.0009481287389672156,0.017822265625,0.018310546875,-0.00048828125,0.03630755952008407,0.10558540569179413,-0.1423812464618782,2.0,4.0,0,0
249,ridge_1,separate,0.0009481287389672156,0.00341796875,0.0,0.00341796875,0.027497818164084503,0.0,-0.024079849414084503,2.0,0.0,0,0
249,ridge_1,crossed,0.0009481287389672156,0.020263671875,0.015380859375,0.0048828125,0.037506751430950905,0.05883627983245563,-0.09146021876340654,2.0,2.0,0,0
249,ridge_1,full_u,0.0009481287389672156,0.000705295138888889,0.0,0.000705295138888889,0.005609152041531635,0.0,-0.004903856902642746,0.6666666666666666,0.0,0,0
249,ridge_100,shared,0.0008873063056739006,0.020263671875,0.016357421875,0.00390625,0.03725135718107648,0.10486488834846824,-0.13820999552954472,2.0,4.0,0,0
249,ridge_100,separate,0.0008873063056739006,0.00244140625,0.0,0.00244140625,0.026921845606735394,0.0,-0.024480439356735394,2.0,0.0,0,0
249,ridge_100,crossed,0.0008873063056739006,0.021240234375,0.016357421875,0.0048828125,0.03782667551045347,0.0591948277421073,-0.09213869075256076,2.0,2.0,0,0
249,ridge_100,full_u,0.0008873063056739006,0.0004882812500000001,0.0,0.0004882812500000001,0.005564757536219718,0.0,-0.005076476286219718,0.6666666666666666,0.0,0,0
249,boosting_7,shared,0.0005717383726406746,0.010498046875,0.010009765625,0.00048828125,0.0341899145274664,0.1022238906996002,-0.1359255239770666,2.0,4.0,0,0
249,boosting_7,separate,0.0005717383726406746,0.00048828125,0.0,0.00048828125,0.02381576928517485,0.0,-0.02332748803517485,2.0,0.0,0,0
249,boosting_7,crossed,0.0005717383726406746,0.011962890625,0.008544921875,0.00341796875,0.03417511713756487,0.055903565113635936,-0.0866607135012008,2.0,2.0,0,0
