candidate,design,target,true_interaction,expected_raw_mean,score_range_width,interaction_range_width,mean_raw,mean_interaction,mean_corrected_center,mean_evaluation_radius,mean_validation_radius,mean_lower,lower_min,lower_max,replications,noncoverage,detection,zero_count_two_sided_95_upper
boosting_31,separate,0.0008521327899962621,0.0,0.0008521327899962621,2.0,0.0,0.0008243815104166666,0.0,0.0008243815104166666,0.023758915348794096,0.0,-0.02293453383837743,-0.029381392828964025,-0.019989694651493757,300,0,0,0.012220974694293552
boosting_31,crossed,0.0008521327899962621,0.008360384691766087,0.009212517481762349,2.0,2.0,0.009314778645833334,0.008287760416666666,0.0010270182291666667,0.03278528177472592,0.0554805127561188,-0.08723877630167806,-0.10040815726379876,-0.07410919882340056,300,0,0,0.012220974694293552
boosting_31,full_u,0.0008521327899962621,0.0,0.0008521327899962621,0.6666666666666666,0.0,0.0008619068287037037,0.0,0.0008619068287037037,0.005582128087389186,0.0,-0.004720221258685483,-0.005682420027690128,-0.0037569626105509926,300,0,0,0.012220974694293552
blend_ridge_1,shared,0.000455562025282533,0.0078589621017994,0.008314524127081932,2.0,4.0,0.00845458984375,0.007828776041666667,0.0006258138020833334,0.03218295725331521,0.10163792932178799,-0.13319507277301984,-0.14777272895706128,-0.12181887902970104,300,0,0,0.012220974694293552
blend_ridge_1,separate,0.000455562025282533,0.0,0.000455562025282533,2.0,0.0,0.00044189453125,0.0,0.00044189453125,0.023061435923916143,0.0,-0.022619541392666143,-0.028999912567135328,-0.019989694651493757,300,0,0,0.012220974694293552
blend_ridge_1,crossed,0.000455562025282533,0.006498025783312017,0.00695358780859455,2.0,2.0,0.00674072265625,0.006444498697916667,0.00029622395833333334,0.03139836666981786,0.05443057646098393,-0.08553271917246846,-0.09901381646366852,-0.07482810234293086,300,0,0,0.012220974694293552
blend_ridge_1,full_u,0.000455562025282533,0.0,0.000455562025282533,0.6666666666666666,0.0,0.0004575376157407407,0.0,0.0004575376157407407,0.005373346134759361,0.0,-0.0049158085190186196,-0.0056852135725185635,-0.004446984919159167,300,0,0,0.012220974694293552
blend_boosting_7,shared,0.0002814381233111963,0.003266662146857502,0.0035481002701686984,2.0,4.0,0.00374755859375,0.0033846028645833333,0.00036295572916666665,0.029114562321216623,0.09854119770194637,-0.1272928042939963,-0.13956702861955084,-0.11769741875626855,300,0,0,0.012220974694293552
blend_boosting_7,separate,0.0002814381233111963,0.0,0.0002814381233111963,2.0,0.0,0.00023274739583333334,0.0,0.00023274739583333334,0.021721702282669154,0.0,-0.02148895488683582,-0.027222348016448107,-0.019989694651493757,300,0,0,0.012220974694293552
blend_boosting_7,crossed,0.0002814381233111963,0.0022793288123241773,0.0025607669356353738,2.0,2.0,0.0025732421875,0.0023030598958333334,0.00027018229166666667,0.028345849988497308,0.0513593582344415,-0.07943502593127214,-0.08851614566909162,-0.07244370124670692,300,0,0,0.012220974694293552
blend_boosting_7,full_u,0.0002814381233111963,0.0,0.0002814381233111963,0.6666666666666666,0.0,0.0002785915798611111,0.0,0.0002785915798611111,0.005056064753657091,0.0,-0.004777473173795979,-0.005291064745494716,-0.004440707411178743,300,0,0,0.012220974694293552
blend_boosting_31,shared,0.00037400296707478946,0.004507841019109143,0.0048818439861839326,2.0,4.0,0.0051171875,0.004527180989583333,0.0005900065104166666,0.030125503425889773,0.09942980168799766,-0.12896529860347078,-0.14148996831537666,-0.11834668717636301,300,0,0,0.012220974694293552
blend_boosting_31,separate,0.00037400296707478946,0.0,0.00037400296707478946,2.0,0.0,0.00037027994791666665,0.0,0.00037027994791666665,0.02217724852381691,0.0,-0.021806968575900244,-0.0277248789768875,-0.019989694651493757,300,0,0,0.012220974694293552
blend_boosting_31,crossed,0.00037400296707478946,0.003323847233646815,0.0036978502007216046,2.0,2.0,0.0037825520833333335,0.0032926432291666666,0.0004899088541666667,0.029386588971030456,0.05226844955526675,-0.08116512967213052,-0.09045767551812486,-0.07272791841809968,300,0,0,0.012220974694293552
blend_boosting_31,full_u,0.00037400296707478946,0.0,0.00037400296707478946,0.6666666666666666,0.0,0.00037471064814814816,0.0,0.00037471064814814816,0.005170829065347034,0.0,-0.004796118417198887,-0.005596590359121524,-0.004378621542360502,300,0,0,0.012220974694293552
