candidate,design,repetitions,target,noncoverage,noncoverage_ci_low,noncoverage_ci_high,positive,positive_ci_low,positive_ci_high,raw_noncoverage,raw_noncoverage_ci_low,raw_noncoverage_ci_high,mean_score,mean_interaction,mean_lower
boosting_31,full_u,300,0.0008521327899961573,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0008619068287037037,0.0,-0.004720221258685481
boosting_31,shared,300,0.0008521327899961573,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.010286458333333333,0.009051920572916667,-0.13413223534999677
boosting_31,separate,300,0.0008521327899961573,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0008243815104166666,0.0,-0.02293453383837743
boosting_31,crossed,300,0.0008521327899961573,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.009314778645833334,0.008287760416666666,-0.08723877630167806
blend_ridge_1,full_u,300,0.0004555620252824355,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0004575376157407407,0.0,-0.0049158085190186196
blend_ridge_1,shared,300,0.0004555620252824355,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00845458984375,0.007828776041666667,-0.13319507277301984
blend_ridge_1,separate,300,0.0004555620252824355,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00044189453125,0.0,-0.022619541392666143
blend_ridge_1,crossed,300,0.0004555620252824355,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00674072265625,0.006444498697916667,-0.08553271917246846
blend_boosting_7,full_u,300,0.0002814381233111063,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0002785915798611111,0.0,-0.004777473173795979
blend_boosting_7,shared,300,0.0002814381233111063,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00374755859375,0.0033846028645833333,-0.1272928042939963
blend_boosting_7,separate,300,0.0002814381233111063,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00023274739583333334,0.0,-0.02148895488683582
blend_boosting_7,crossed,300,0.0002814381233111063,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0025732421875,0.0023030598958333334,-0.07943502593127214
blend_boosting_31,full_u,300,0.00037400296707464087,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00037471064814814816,0.0,-0.004796118417198885
