task,baseline,candidate,raw_draw_calls,distinct_sampled_rows,p_min_x,missing_mass,pairs,allocation_factor,method,p,lower,estimate,pair_methods_seconds,full_u_all_delete_seconds,fractions,used_categories,additional_raw_rows,total_raw_rows_charged,partial_shifted_mean_cap,decimal_precision,certificate,p_value,log_e_lower,objective_lower,objective_upper,objective_gap,profiles,status,elapsed_seconds,radius,jackknife_variance,eb_linear_remainder,full_u_eb_union_p,full_u_hoeffding_union_p,p_BY,retained,exact_archive_target_fraction,exact_archive_target,exact_target_sign,archive_rows,p_min_y,frozen_augmentation_weight,frozen_confirmation_rows,frozen_confirmation_mse,frozen_baseline_confirmation_mse,descriptive_frozen_confirmation_gain,descriptive_gain_sign
appliances,seasonal_day,extra_trees,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_profiled_betting,2.4953505373360846e-132,,,0.1926811821758747,37.449268005788326,"['1/10', '3/10', '1/2', '7/10', '9/10']",30.0,0.0,32768.0,0.5,60.0,exact-rational tangent LP; outward Decimal logarithms,2.4953505373360846e-132,303.02680305995284,303.02680305995284,303.03145851069667,0.0046554507437118,"[{'fraction': '1/10', 'log_e_lower': 54.730114841676624, 'primal_log_e_upper': 54.73284916238081, 'certified_optimization_gap_upper': 0.0027343207041719214, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 67, 'objective_evaluations': 67, 'feasible_mean_vector': [0.5104542347814316, 0.5020184464059874, 0.4912582857691398, 0.49792832900906636, 0.5152548529973106, 0.5138517378154972, 0.5218348078564863, 0.513310593953901, 0.5081117655726235, 0.4880494391226609, 0.4964492006942345, 0.4900874216095318, 0.4993703552424545, 0.5089983183911588, 0.5124070624815737, 0.48865212605138764, 0.500820342550115, 0.4818671929220665, 0.4969808114572677, 0.50766473837612, 0.5063929450705364, 0.4788503448196642, 0.49768271850643836, 0.4904266373708305, 0.49889982167908314, 0.5154276136927465, 0.5027179823068474, 0.49115408877211975, 0.47654470311422853, 0.47871110003033385]}, {'fraction': '3/10', 'log_e_lower': 148.27739746512242, 'primal_log_e_upper': 148.28200247688042, 'certified_optimization_gap_upper': 0.004605011757935125, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 51, 'objective_evaluations': 52, 'feasible_mean_vector': [0.5070497924978725, 0.505395645930307, 0.48816595946763147, 0.5028454028045386, 0.5067422204003986, 0.5192911090018462, 0.5203937700455481, 0.5131982138025266, 0.5005382802704389, 0.49132513949504303, 0.4958538101081199, 0.49046553032740653, 0.49796925280816284, 0.5125123513467947, 0.5105829940611288, 0.4912457177998531, 0.5002566995678346, 0.48548963837766385, 0.49648603177297657, 0.5146198852735187, 0.5086054148054593, 0.47841090494015825, 0.5004623174197624, 0.4918400950673971, 0.4981971189977055, 0.5223634133840448, 0.505472173851639, 0.4912863314803325, 0.4794849598041634, 0.48108120296175944]}, {'fraction': '1/2', 'log_e_lower': 223.53014594205334, 'primal_log_e_upper': 223.5343657872193, 'certified_optimization_gap_upper': 0.004219845165870688, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 48, 'objective_evaluations': 48, 'feasible_mean_vector': [0.503882582674996, 0.5088196762006836, 0.48496957348739994, 0.5076612130540933, 0.49839654650215093, 0.5251883297250642, 0.5194073857126179, 0.5134309102827649, 0.4930682408870182, 0.4942119603115911, 0.4951956758537296, 0.4905758957272192, 0.496580399973238, 0.5162703022802219, 0.5091220033101663, 0.49347797619866596, 0.49975170008197267, 0.4885189739462771, 0.49593182991768414, 0.5218200330171818, 0.5110158014301449, 0.4773898634443599, 0.5031840324344025, 0.4930059219703232, 0.4975198406826107, 0.5298092524866383, 0.5082943155887673, 0.49116503460854594, 0.48167251051110604, 0.48279655458139437]}, {'fraction': '7/10', 'log_e_lower': 280.3245378580353, 'primal_log_e_upper': 280.32961370225183, 'certified_optimization_gap_upper': 0.005075844216427363, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 45, 'objective_evaluations': 45, 'feasible_mean_vector': [0.5006890796231308, 0.5125946718686611, 0.48138081141351746, 0.512831987365524, 0.4897048093837832, 0.5321202450151448, 0.5188226593982893, 0.5140193800892101, 0.48521312186271304, 0.4969544273172075, 0.49439596932117297, 0.49041402580511995, 0.4950617145733202, 0.5206214142870581, 0.5079077016838518, 0.49552119898334956, 0.4992355504300011, 0.4912207399033536, 0.4952330067184419, 0.5299917624333418, 0.5138282723613117, 0.4756466242991922, 0.5060658801077305, 0.49397761992664135, 0.4967535952166023, 0.5385376349162672, 0.511424868854806, 0.4907346040700305, 0.4832918914100591, 0.48398296045832223]}, {'fraction': '9/10', 'log_e_lower': 304.6362409723593, 'primal_log_e_upper': 304.64089642310313, 'certified_optimization_gap_upper': 0.004655450743700238, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 45, 'objective_evaluations': 46, 'feasible_mean_vector': [0.4971422868436806, 0.5171152973067892, 0.4770529589959487, 0.5189284664424533, 0.47998734357028483, 0.5409985141499609, 0.518623357253929, 0.5150235848870925, 0.4763519507410966, 0.49976919572438194, 0.49334050209158, 0.4899310691351883, 0.4932452687258157, 0.526072717214963, 0.5068464957530248, 0.4975137038806778, 0.4986323850929973, 0.49379467845832664, 0.4942658268411482, 0.5402095159518258, 0.5173526931323769, 0.4729115591676148, 0.5093716779339643, 0.4947708516311909, 0.4957524988796091, 0.5497562685848429, 0.5151785176128164, 0.48986883306778517, 0.4844106208169629, 0.4846606335841395]}]",certified_lower_evidence,0.1628833040595054,,,,,,2.712802512732516e-131,True,49651942985791/1394294718136320,0.035610794719324566,positive,336,0.005952380952380952,1.1,1008,0.017748898090906903,0.04129839692198081,0.02354949883107391,positive
appliances,seasonal_day,hist_gradient_boosting,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,full_u_joint,1.0,-0.5984411491130459,0.0342715232930477,0.1930102929472923,36.99013579636812,,,,,,,,,,,,,,,,0.6327126724060936,1.0810809659834129e-06,0.1579766874806744,1.0,1.0,1.0,False,49096769575339/1394294718136320,0.035212619639672774,positive,336,0.005952380952380952,1.0,1008,0.018651651649886507,0.04129839692198081,0.022646745272094305,positive
appliances,seasonal_day,hist_gradient_boosting,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_cell_bernstein,1.0,-0.0491659152939034,0.0359381291473346,0.1930102929472923,36.99013474956155,,,,,,,,,,,,,,,,,,,,,1.0,False,49096769575339/1394294718136320,0.035212619639672774,positive,336,0.005952380952380952,1.0,1008,0.018651651649886507,0.04129839692198081,0.022646745272094305,positive
appliances,seasonal_day,hist_gradient_boosting,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_hoeffding,6.740720661225877e-10,0.022402332544683,0.0359381291473346,0.1930102929472923,36.9901323877275,,,,,,,,,,,,,,,,,,,,,5.975038205320847e-09,True,49096769575339/1394294718136320,0.035212619639672774,positive,336,0.005952380952380952,1.0,1008,0.018651651649886507,0.04129839692198081,0.022646745272094305,positive
appliances,seasonal_day,hist_gradient_boosting,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_hybrid,5.421010862427522e-20,0.0300612004823602,0.0359381291473346,0.1930102929472923,36.9901351518929,,,,,,,,,,,,,,,,,,,,,2.9467066187909604e-19,True,49096769575339/1394294718136320,0.035212619639672774,positive,336,0.005952380952380952,1.0,1008,0.018651651649886507,0.04129839692198081,0.022646745272094305,positive
appliances,seasonal_day,hist_gradient_boosting,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_pooled_bernstein,5.421010862427522e-20,0.030646885062748,0.0359381291473346,0.1930102929472923,36.99013430997729,,,,,,,,,,,,,,,,,,,,,2.9467066187909604e-19,True,49096769575339/1394294718136320,0.035212619639672774,positive,336,0.005952380952380952,1.0,1008,0.018651651649886507,0.04129839692198081,0.022646745272094305,positive
appliances,seasonal_day,hist_gradient_boosting,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_profiled_betting,1.0597062234395969e-129,,,0.1930102929472923,36.990135464817286,"['1/10', '3/10', '1/2', '7/10', '9/10']",30.0,0.0,32768.0,0.5,60.0,exact-rational tangent LP; outward Decimal logarithms,1.0597062234395969e-129,296.9754852742189,296.9754852742189,296.9811265669239,0.005641292704884,"[{'fraction': '1/10', 'log_e_lower': 55.00207413506629, 'primal_log_e_upper': 55.00738569726814, 'certified_optimization_gap_upper': 0.005311562201844832, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 66, 'objective_evaluations': 66, 'feasible_mean_vector': [0.5102766562468762, 0.5002860797226084, 0.49843471454150706, 0.4986037931393162, 0.5082569404212399, 0.5158316471221986, 0.5223363500888212, 0.5132645748523238, 0.5061200129542295, 0.4854211095010907, 0.4922721043428048, 0.4915360331257879, 0.4987961674386518, 0.50822118572416, 0.5167444579110031, 0.4956706547621194, 0.5021091291258528, 0.47649221933241936, 0.4891163744539059, 0.507598412545688, 0.51097353066459, 0.4831127789939674, 0.5021167357506536, 0.4903701695791345, 0.5023822999602554, 0.5126489874938222, 0.5057666199636945, 0.47980921973700646, 0.47649221933241936, 0.4815234487670245]}, {'fraction': '3/10', 'log_e_lower': 148.70157937240558, 'primal_log_e_upper': 148.7064974531521, 'certified_optimization_gap_upper': 0.004918080746489375, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 55, 'objective_evaluations': 55, 'feasible_mean_vector': [0.5067531621077546, 0.5041532126959847, 0.4938944326716213, 0.5034520063838761, 0.5013960571265061, 0.520863130262994, 0.5208057385270035, 0.5132146941852119, 0.49980103137637927, 0.48944001620851396, 0.4925618925980603, 0.4916693687215218, 0.4972531077740442, 0.5119393678902379, 0.5142690512173889, 0.49654730306713335, 0.500690378311076, 0.47950227674162593, 0.49049641269696215, 0.5146369724963804, 0.512193213390271, 0.48163697887245865, 0.5038303922646535, 0.4918559624941374, 0.5009329554673865, 0.5203168073016115, 0.5078125655162383, 0.48108323382608625, 0.47950227674162593, 0.4835794237436009]}, {'fraction': '1/2', 'log_e_lower': 223.4827368998534, 'primal_log_e_upper': 223.48714269163708, 'certified_optimization_gap_upper': 0.004405791783631392, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 48, 'objective_evaluations': 48, 'feasible_mean_vector': [0.5035176941791558, 0.5080096330091984, 0.4893082061076014, 0.5081964537932299, 0.49464825134854756, 0.5264017973203242, 0.5197588295071615, 0.5135205641752967, 0.4935300450157684, 0.4929541611471058, 0.49275623325308726, 0.49156535093013515, 0.49570257873722035, 0.5159107842492313, 0.5122091458667087, 0.49731343768848324, 0.49934981825301267, 0.4817573277392614, 0.4915678664504089, 0.5219073531720146, 0.5137127850929265, 0.4797278568061092, 0.5056531020524206, 0.4930920520508246, 0.4995710628812877, 0.5284085319572404, 0.5100347092978559, 0.48175553810560345, 0.4817573277392614, 0.48515165150412715]}, {'fraction': '7/10', 'log_e_lower': 278.79378210004313, 'primal_log_e_upper': 278.7992914895154, 'certified_optimization_gap_upper': 0.005509389472142145, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 45, 'objective_evaluations': 46, 'feasible_mean_vector': [0.5003779324084552, 0.5122006578962284, 0.4842821671109972, 0.5132904370825188, 0.4875313218477177, 0.533001465496951, 0.5191428263982437, 0.5141871223319655, 0.4868603553038883, 0.49628728240794157, 0.49286878625972197, 0.49118414323322246, 0.4939910621302428, 0.5204944538305893, 0.5104150883680865, 0.49799185023781284, 0.49795376996297464, 0.4834509191042772, 0.4923916787922289, 0.5301602438724328, 0.5156557954611395, 0.47716958792592656, 0.5077008601848482, 0.49413908110457805, 0.4981381811507805, 0.5377632958340556, 0.5126123358303688, 0.4818479701146887, 0.4834509191042773, 0.48636255137320555]}, {'fraction': '9/10', 'log_e_lower': 298.58492318411305, 'primal_log_e_upper': 298.59056447681843, 'certified_optimization_gap_upper': 0.005641292705219005, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 45, 'objective_evaluations': 46, 'feasible_mean_vector': [0.49713021740255076, 0.5171734575357179, 0.47831301270119125, 0.5192999057755394, 0.479431267060463, 0.5415324541312139, 0.5189362316516565, 0.5152838900786542, 0.4792038529373751, 0.499726558083528, 0.492932030665613, 0.49042179078386, 0.49192838025055063, 0.5262254419549262, 0.5087457270668686, 0.498584098283544, 0.4963474412717335, 0.48465650730542853, 0.49298513669944477, 0.5404782210182629, 0.5182280979044498, 0.47362460841358295, 0.5101537820257336, 0.4950212802824381, 0.49643831646914194, 0.5496780637362573, 0.5158037532075165, 0.4812687403297072, 0.4846565073054285, 0.4872882070878387]}]",certified_lower_evidence,0.1630927287042141,,,,,,7.68034700988127e-129,True,49096769575339/1394294718136320,0.035212619639672774,positive,336,0.005952380952380952,1.0,1008,0.018651651649886507,0.04129839692198081,0.022646745272094305,positive
appliances,seasonal_day,independent_noise,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,full_u_joint,1.0,-0.6307241934348803,0.0019884789712133,0.1935883089900016,37.46693033725023,,,,,,,,,,,,,,,,0.6327126724060936,3.1876197173529065e-07,0.1579766874806744,1.0,1.0,1.0,False,2760225161951/1394294718136320,0.00197965690183525,positive,336,0.005952380952380952,0.15,1008,0.039263683759448983,0.04129839692198081,0.0020347131625318288,positive
appliances,seasonal_day,independent_noise,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_cell_bernstein,1.0,-0.087511698496452,-0.0002694403741149,0.1935883089900016,37.46692932024598,,,,,,,,,,,,,,,,,,,,,1.0,False,2760225161951/1394294718136320,0.00197965690183525,positive,336,0.005952380952380952,0.15,1008,0.039263683759448983,0.04129839692198081,0.0020347131625318288,positive
appliances,seasonal_day,independent_noise,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_hoeffding,1.0,-0.0138052369767665,-0.0002694403741149,0.1935883089900016,37.46692727506161,,,,,,,,,,,,,,,,,,,,,1.0,False,2760225161951/1394294718136320,0.00197965690183525,positive,336,0.005952380952380952,0.15,1008,0.039263683759448983,0.04129839692198081,0.0020347131625318288,positive
appliances,seasonal_day,independent_noise,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_hybrid,1.0,-0.0064126407011965,-0.0002694403741149,0.1935883089900016,37.46692965179682,,,,,,,,,,,,,,,,,,,,,1.0,False,2760225161951/1394294718136320,0.00197965690183525,positive,336,0.005952380952380952,0.15,1008,0.039263683759448983,0.04129839692198081,0.0020347131625318288,positive
appliances,seasonal_day,independent_noise,32768,336,0.0059523809523809,0.0,8183,0.0001223192014091,stratified_pooled_bernstein,1.0,-0.0058049907632574,-0.0002694403741149,0.1935883089900016,37.46692891791463,,,,,,,,,,,,,,,,,,,,,1.0,False,2760225161951/1394294718136320,0.00197965690183525,positive,336,0.005952380952380952,0.15,1008,0.039263683759448983,0.04129839692198081,0.0020347131625318288,positive
