task,baseline,candidate,exact_archive_target_fraction,exact_archive_target,exact_target_sign,archive_rows,p_min,frozen_augmentation_weight,frozen_confirmation_rows,frozen_confirmation_mse,frozen_baseline_confirmation_mse,descriptive_frozen_confirmation_gain,descriptive_gain_sign
appliances,seasonal_day,hist_gradient_boosting,49096769575339/1394294718136320,0.035212619639672774,positive,336,0.005952380952380952,1.0,1008,0.018651651649886507,0.04129839692198081,0.022646745272094305,positive
appliances,seasonal_day,extra_trees,49651942985791/1394294718136320,0.035610794719324566,positive,336,0.005952380952380952,1.1,1008,0.017748898090906903,0.04129839692198081,0.02354949883107391,positive
appliances,seasonal_day,category_copy,0,0.0,zero,336,0.005952380952380952,0.05,1008,0.0413980341485031,0.04129839692198081,-9.963722652228668e-05,negative
appliances,seasonal_day,independent_noise,2760225161951/1394294718136320,0.00197965690183525,positive,336,0.005952380952380952,0.15,1008,0.039263683759448983,0.04129839692198081,0.0020347131625318288,positive
metro,ridge,persistence,444228561533909780395773939139671416023/357632670496171373750667334414277370032640,0.0012421364102938282,positive,4362,0.00022925263640531865,0.0,8713,0.005252127633766578,0.005252127633766578,0.0,numerical_tie
metro,ridge,seasonal_day,28308738664135127364379679884885099429/32274167825264245923840710666654299246848,0.000877133031513055,positive,4362,0.00022925263640531865,0.1,8713,0.005374716542568956,0.005252127633766578,-0.00012258890880237783,negative
metro,ridge,seasonal_week,165798581293330722577686710807030533661/178816335248085686875333667207138685016320,0.0009272004208301527,positive,4362,0.00022925263640531865,0.4,8713,0.004629309513914213,0.005252127633766578,0.0006228181198523648,positive
metro,ridge,ridge_full,658648052445343474526717318155593147191/2205401468059723471462448562221377115201280,0.000298652223635641,positive,4362,0.00022925263640531865,0.0,8713,0.005252127633766578,0.005252127633766578,0.0,numerical_tie
metro,ridge,hist_gradient_boosting,827874562060140506334822856608593503309/194594247181740306305510167254827392517760,0.004254362983747157,positive,4362,0.00022925263640531865,1.1,8713,0.0015706208767731736,0.005252127633766578,0.0036815067569934043,positive
metro,ridge,extra_trees,189010897230028943866100400884683001/47356020987310828091984551696805795820,0.003991274885207837,positive,4362,0.00022925263640531865,1.1,8713,0.001372243831260992,0.005252127633766578,0.003879883802505586,positive
metro,ridge,category_copy,0,0.0,zero,4362,0.00022925263640531865,0.0,8713,0.005252127633766578,0.005252127633766578,0.0,numerical_tie
metro,ridge,independent_noise,134933860124515319168225209981706463931/601473127652651855853395062424011940509440,0.00022433896698114675,positive,4362,0.00022925263640531865,0.0,8713,0.005252127633766578,0.005252127633766578,0.0,numerical_tie
metro,seasonal_day,persistence,1570268577319726593093597230308142760670969/117502889630058484915046136807705043377484800,0.013363659245006645,positive,4362,0.002751031636863824,0.4,8713,0.011288732829835614,0.022417207734206964,0.01112847490437135,positive
metro,seasonal_day,seasonal_day,2661806669007612716128044268175497937/8994403676520092231708981690730637123200,0.00029594031630537823,positive,4362,0.002751031636863824,0.0,8713,0.022417207734206964,0.022417207734206964,0.0,numerical_tie
metro,seasonal_day,seasonal_week,1455424904597035213470900019358302414957601/117502889630058484915046136807705043377484800,0.012386290321703903,positive,4362,0.002751031636863824,0.7,8713,0.006569864454370523,0.022417207734206964,0.015847343279836442,positive
metro,seasonal_day,ridge_full,142043368767758833853189724786555655163/13232307390772351904847537928795612992960,0.010734588048250287,positive,4362,0.002751031636863824,0.9,8713,0.005381087054754647,0.022417207734206964,0.017036120679452316,positive
metro,seasonal_day,hist_gradient_boosting,30230462225465316872264217561043782318581/2098265886251044373482966728709018631740800,0.01440735534211913,positive,4362,0.002751031636863824,1.0,8713,0.0015449458216217418,0.022417207734206964,0.020872261912585222,positive
metro,seasonal_day,extra_trees,33437659094976567602764157426116469082079/2350057792601169698300922736154100867549696,0.014228441189936004,positive,4362,0.002751031636863824,1.05,8713,0.001438464052883464,0.022417207734206964,0.0209787436813235,positive
metro,seasonal_day,category_copy,0,0.0,zero,4362,0.002751031636863824,0.0,8713,0.022417207734206964,0.022417207734206964,0.0,numerical_tie
metro,seasonal_day,independent_noise,-820391399076168793239085376508569833333/1199009077857739641990266702119439218137600,-0.0006842245102447063,negative,4362,0.002751031636863824,0.05,8713,0.021747478998488345,0.022417207734206964,0.0006697287357186194,positive
