candidate,method,bound,old_radius,new_radius,relative_radius_reduction,old_lower,new_lower,old_passes,new_passes,width_basis
ridge_1,complete_pooled_u,variance,0.0007923028483358761,0.0007010237523506504,0.11520733034968256,0.0001458918770908549,0.00023717097307608063,True,True,shared_baseline_theorem
ridge_1,complete_pooled_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.005836092464722723,-0.00414252066718536,False,False,shared_baseline_theorem
ridge_1,census,exact,0.0,0.0,0.0,0.0009481287389672156,0.0009481287389672156,True,True,shared_baseline_theorem
ridge_100,shared_original,hybrid,0.01711621589655926,0.013294819233698619,0.22326177035595984,-0.01465955085749676,-0.010838154194636119,False,False,shared_baseline_theorem
ridge_100,shared_original,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.09913313904290533,-0.06103696251216739,False,False,shared_baseline_theorem
ridge_100,shared_pruned_same_counts,hybrid,0.01711621589655926,0.013294819233698619,0.22326177035595984,-0.01465955085749676,-0.010838154194636119,False,False,shared_baseline_theorem
ridge_100,shared_pruned_same_counts,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.09913313904290533,-0.06103696251216739,False,False,shared_baseline_theorem
ridge_100,shared_pruned_allocated,hybrid,0.013115519575881007,0.010578870855615834,0.19340817613737415,-0.011253536084153365,-0.008716887363888192,False,False,shared_baseline_theorem
ridge_100,shared_pruned_allocated,hoeffding,0.08364628101203186,0.052278925632519915,0.375,-0.08178429752030422,-0.05041694214079227,False,False,shared_baseline_theorem
ridge_100,direct_triple_u,hybrid,0.0008440325220090193,0.0007417825452158103,0.12114459351616835,0.00016474297712292495,0.000266992953916134,True,True,shared_baseline_theorem
ridge_100,direct_triple_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.00576551169101751,-0.004071939893480147,False,False,shared_baseline_theorem
ridge_100,complete_pooled_u,variance,0.0007761533892842569,0.0006848742932990311,0.11760445453881263,0.00010462306835134398,0.0001959021643365697,True,True,shared_baseline_theorem
ridge_100,complete_pooled_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.005893510732513853,-0.00419993893497649,False,False,shared_baseline_theorem
ridge_100,census,exact,0.0,0.0,0.0,0.0008873063056739006,0.0008873063056739006,True,True,shared_baseline_theorem
boosting_7,shared_original,hybrid,0.015083530924270103,0.011262134261409462,0.2533489460821031,-0.015388706705520103,-0.011567310042659462,False,False,shared_baseline_theorem
boosting_7,shared_original,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.10189497986321783,-0.06379880333247989,False,False,shared_baseline_theorem
boosting_7,shared_pruned_same_counts,hybrid,0.015083530924270103,0.011262134261409462,0.2533489460821031,-0.015388706705520103,-0.011567310042659462,False,False,shared_baseline_theorem
boosting_7,shared_pruned_same_counts,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.10189497986321783,-0.06379880333247989,False,False,shared_baseline_theorem
boosting_7,shared_pruned_allocated,hybrid,0.011508359337016424,0.008971710616751252,0.22041792804523308,-0.010155024709039135,-0.007618375988773962,False,False,shared_baseline_theorem
boosting_7,shared_pruned_allocated,hoeffding,0.08364628101203186,0.052278925632519915,0.375,-0.08229294638405457,-0.05092559100454262,False,False,shared_baseline_theorem
boosting_7,direct_triple_u,hybrid,0.0007142175415133373,0.0006119675647201283,0.1431636313168031,-0.00010556140002028166,-3.3114232270727278e-06,False,False,shared_baseline_theorem
boosting_7,direct_triple_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.006165631048656398,-0.004472059251119035,False,False,shared_baseline_theorem
boosting_7,complete_pooled_u,variance,0.0006534987675112574,0.0005622196715260317,0.13967753349076262,-7.99943199261226e-05,1.1284776059103125e-05,False,True,shared_baseline_theorem
boosting_7,complete_pooled_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.006200782742564319,-0.004507210945026956,False,False,shared_baseline_theorem
boosting_7,census,exact,0.0,0.0,0.0,0.0005717383726406746,0.0005717383726406746,True,True,shared_baseline_theorem
boosting_31,shared_original,hybrid,0.015748021347535113,0.01192662468467447,0.24265884446865882,-0.015366551620972611,-0.01154515495811197,False,False,shared_baseline_theorem
boosting_31,shared_original,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.10120833435540533,-0.06311215782466739,False,False,shared_baseline_theorem
boosting_31,shared_pruned_same_counts,hybrid,0.015748021347535113,0.01192662468467447,0.24265884446865882,-0.015366551620972611,-0.01154515495811197,False,False,shared_baseline_theorem
boosting_31,shared_pruned_same_counts,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.10120833435540533,-0.06311215782466739,False,False,shared_baseline_theorem
boosting_31,shared_pruned_allocated,hybrid,0.012126123791812809,0.009589475071547636,0.20918875345622323,-0.010248394728050957,-0.0077117460077857835,False,False,shared_baseline_theorem
boosting_31,shared_pruned_allocated,hoeffding,0.08364628101203186,0.052278925632519915,0.375,-0.08176855194827001,-0.050401196568758064,False,False,shared_baseline_theorem
boosting_31,direct_triple_u,hybrid,0.000755407868251283,0.000653157891458074,0.13535730972714188,0.00011434310831121702,0.00021659308510442595,True,True,shared_baseline_theorem
boosting_31,direct_triple_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.005904536213586954,-0.004210964416049591,False,False,shared_baseline_theorem
boosting_31,complete_pooled_u,variance,0.0006924171105827418,0.0006011380145975161,0.13182674805422523,0.00015494046965732367,0.0002462195656425494,True,True,shared_baseline_theorem
boosting_31,complete_pooled_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.005926929609909389,-0.004233357812372026,False,False,shared_baseline_theorem
boosting_31,census,exact,0.0,0.0,0.0,0.0008521327899962623,0.0008521327899962623,True,True,shared_baseline_theorem
blend_ridge_1,shared_original,hybrid,0.015287168952943998,0.011465772290083356,0.2499741236996481,-0.013257750007631498,-0.009436353344770856,False,False,shared_baseline_theorem
blend_ridge_1,shared_original,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.09956038513665533,-0.06146420860591739,False,False,shared_baseline_theorem
blend_ridge_1,shared_pruned_same_counts,hybrid,0.015287168952943998,0.011465772290083356,0.2499741236996481,-0.013257750007631498,-0.009436353344770856,False,False,shared_baseline_theorem
blend_ridge_1,shared_pruned_same_counts,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.09956038513665533,-0.06146420860591739,False,False,shared_baseline_theorem
blend_ridge_1,shared_pruned_allocated,hybrid,0.011615360829745021,0.009078712109479848,0.21838742312414738,-0.010137721147322688,-0.0076010724270575165,False,False,shared_baseline_theorem
blend_ridge_1,shared_pruned_allocated,hoeffding,0.08364628101203186,0.052278925632519915,0.375,-0.08216864132960953,-0.050801285950097586,False,False,shared_baseline_theorem
blend_ridge_1,direct_triple_u,hybrid,0.000722203477851144,0.0006199535010579351,0.14158056549027587,-0.00017119165059419962,-6.894167380099069e-05,False,False,shared_baseline_theorem
blend_ridge_1,direct_triple_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.00622327536289251,-0.004529703565355147,False,False,shared_baseline_theorem
blend_ridge_1,complete_pooled_u,variance,0.0006610442140943621,0.0005697651181091364,0.1380831932857609,-0.0002071076147934915,-0.00011582851880826577,False,False,shared_baseline_theorem
blend_ridge_1,complete_pooled_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.006320350590848583,-0.00462677879331122,False,False,shared_baseline_theorem
blend_ridge_1,census,exact,0.0,0.0,0.0,0.000455562025282533,0.000455562025282533,True,True,shared_baseline_theorem
blend_boosting_7,shared_original,hybrid,0.013468779729863864,0.009647383067003225,0.2837225598387052,-0.013926543401738864,-0.010105146738878225,False,False,shared_baseline_theorem
blend_boosting_7,shared_original,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.10204756775384283,-0.06395139122310489,False,False,shared_baseline_theorem
blend_boosting_7,shared_pruned_same_counts,hybrid,0.013468779729863864,0.009647383067003225,0.2837225598387052,-0.013926543401738864,-0.010105146738878225,False,False,shared_baseline_theorem
