candidate,method,bound,selection_mse,exact_target,true_shared_interaction,raw_center,interaction_estimate,corrected_center,evaluation_radius,validation_radius,total_radius,lower,passes,score_variance,correction_variance,alpha,delta,score_width,correction_width,width_basis,analysis_status
persistence,shared_original,hybrid,595.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.00625,0.003125,0.0,0.0,declared_map_identity,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,shared_pruned_allocated,hoeffding,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.008253094910591471,0.006899760282614181,0.0013533346279772903,0.01855736317755336,0.033721562454966554,0.052278925632519915,-0.05092559100454262,False,0.00804231301105511,0.0035040195394037657,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,direct_triple_u,hybrid,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.0006086561414930556,0.0,0.0006086561414930556,0.0006119675647201283,0.0,0.0006119675647201283,-3.3114232270727278e-06,False,0.0001771614543549293,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,direct_triple_u,hoeffding,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.0006086561414930556,0.0,0.0006086561414930556,0.005080715392612091,0.0,0.005080715392612091,-0.004472059251119035,False,0.0001771614543549293,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,complete_pooled_u,variance,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.0005735044475851348,0.0,0.0005735044475851348,0.0005622196715260317,0.0,0.0005622196715260317,1.1284776059103125e-05,True,0.0001771614543549293,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,complete_pooled_u,hoeffding,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.0005735044475851348,0.0,0.0005735044475851348,0.005080715392612091,0.0,0.005080715392612091,-0.004507210945026956,False,0.0001771614543549293,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,census,exact,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.0005717383726406746,0.0,0.0005717383726406746,0.0,0.0,0.0,0.0005717383726406746,True,0.0,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,shared_original,hybrid,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0085296630859375,0.008148193359375,0.0003814697265625,0.004040739775358749,0.007885884909315721,0.01192662468467447,-0.01154515495811197,False,0.008766433472730284,0.004458382138110331,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,shared_original,hoeffding,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0085296630859375,0.008148193359375,0.0003814697265625,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06311215782466739,False,0.008766433472730284,0.004458382138110331,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,shared_pruned_same_counts,hybrid,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0085296630859375,0.008148193359375,0.0003814697265625,0.004040739775358749,0.007885884909315721,0.01192662468467447,-0.01154515495811197,False,0.008766433472730284,0.004458382138110331,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,shared_pruned_same_counts,hoeffding,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0085296630859375,0.008148193359375,0.0003814697265625,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06311215782466739,False,0.008766433472730284,0.004458382138110331,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,shared_pruned_allocated,hybrid,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.01035457741097356,0.008476848347211708,0.0018777290637618516,0.004929821193502005,0.00465965387804563,0.009589475071547636,-0.0077117460077857835,False,0.01017171989001246,0.004550283799340321,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,shared_pruned_allocated,hoeffding,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.01035457741097356,0.008476848347211708,0.0018777290637618516,0.01855736317755336,0.033721562454966554,0.052278925632519915,-0.050401196568758064,False,0.01017171989001246,0.004550283799340321,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,direct_triple_u,hybrid,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0008697509765625,0.0,0.0008697509765625,0.000653157891458074,0.0,0.000653157891458074,0.00021659308510442595,True,0.0002282052974155478,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,direct_triple_u,hoeffding,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0008697509765625,0.0,0.0008697509765625,0.005080715392612091,0.0,0.005080715392612091,-0.004210964416049591,False,0.0002282052974155478,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,complete_pooled_u,variance,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0008473575802400655,0.0,0.0008473575802400655,0.0006011380145975161,0.0,0.0006011380145975161,0.0002462195656425494,True,0.0002282052974155478,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,complete_pooled_u,hoeffding,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0008473575802400655,0.0,0.0008473575802400655,0.005080715392612091,0.0,0.005080715392612091,-0.004233357812372026,False,0.0002282052974155478,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_31,census,exact,527.5912583594637,0.0008521327899962623,0.009056899048860137,0.0008521327899962623,0.0,0.0008521327899962623,0.0,0.0,0.0,0.0008521327899962623,True,0.0,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,shared_original,hybrid,582.1872308901089,0.000455562025282533,0.007858962101799304,0.008026123046875,0.0059967041015625,0.0020294189453125,0.003969492516706138,0.007496279773377219,0.011465772290083356,-0.009436353344770856,False,0.008320793799629857,0.0033003951789782374,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,shared_original,hoeffding,582.1872308901089,0.000455562025282533,0.007858962101799304,0.008026123046875,0.0059967041015625,0.0020294189453125,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06146420860591739,False,0.008320793799629857,0.0033003951789782374,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,shared_pruned_same_counts,hybrid,582.1872308901089,0.000455562025282533,0.007858962101799304,0.008026123046875,0.0059967041015625,0.0020294189453125,0.003969492516706138,0.007496279773377219,0.011465772290083356,-0.009436353344770856,False,0.008320793799629857,0.0033003951789782374,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,shared_pruned_same_counts,hoeffding,582.1872308901089,0.000455562025282533,0.007858962101799304,0.008026123046875,0.0059967041015625,0.0020294189453125,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06146420860591739,False,0.008320793799629857,0.0033003951789782374,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,shared_pruned_allocated,hybrid,582.1872308901089,0.000455562025282533,0.007858962101799304,0.00855876509246523,0.007081125410042897,0.0014776396824223324,0.004613430393075251,0.004465281716404598,0.009078712109479848,-0.0076010724270575165,False,0.008333314353048824,0.0037193327659278716,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,shared_pruned_allocated,hoeffding,582.1872308901089,0.000455562025282533,0.007858962101799304,0.00855876509246523,0.007081125410042897,0.0014776396824223324,0.01855736317755336,0.033721562454966554,0.052278925632519915,-0.050801285950097586,False,0.008333314353048824,0.0037193327659278716,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,direct_triple_u,hybrid,582.1872308901089,0.000455562025282533,0.007858962101799304,0.0005510118272569444,0.0,0.0005510118272569444,0.0006199535010579351,0.0,0.0006199535010579351,-6.894167380099069e-05,False,0.00018655350032125264,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,direct_triple_u,hoeffding,582.1872308901089,0.000455562025282533,0.007858962101799304,0.0005510118272569444,0.0,0.0005510118272569444,0.005080715392612091,0.0,0.005080715392612091,-0.004529703565355147,False,0.00018655350032125264,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,complete_pooled_u,variance,582.1872308901089,0.000455562025282533,0.007858962101799304,0.0004539365993008706,0.0,0.0004539365993008706,0.0005697651181091364,0.0,0.0005697651181091364,-0.00011582851880826577,False,0.00018655350032125264,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,complete_pooled_u,hoeffding,582.1872308901089,0.000455562025282533,0.007858962101799304,0.0004539365993008706,0.0,0.0004539365993008706,0.005080715392612091,0.0,0.005080715392612091,-0.00462677879331122,False,0.00018655350032125264,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
