task,baseline,candidate,raw_draw_calls,distinct_sampled_rows,population_rows,declared_categories,positive_categories,p_min,exact_archive_target,independent_blocks,kernel_lower,kernel_upper,kernel_range,alpha,by_first_threshold,whole_case_seconds,process_peak_rss_kib,method,estimate,radius,lower,p,log_p,first_threshold_lower,sample_variance,arithmetic_seconds,first_term,second_term,lower_covers_archive_target,p_BY,retained
appliances,seasonal_day,seasonal_week,32768,336,336,32,30,0.005952380952380952,0.010057801608400283,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.19630354642868,99904,direct_block_empirical_bernstein,0.022767147515960928,0.07416327847035359,-0.05139613095439266,0.9314118221067579,-0.07105375567915706,-0.09896775742727028,0.9895644290498403,0.8306790366768837,,,True,1.0,False
appliances,seasonal_day,seasonal_week,32768,336,336,32,30,0.005952380952380952,0.010057801608400283,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.19630354642868,99904,direct_full_u_hoeffding,0.008958791727260829,0.5701784515603884,-0.5612196598331276,0.9992607017260614,-0.0007395716896729594,-0.8029982831053091,,14.358176868408918,0.2760863308959915,0.26712753916873067,True,1.0,False
metro,ridge,category_copy,32768,4361,4362,32,30,0.00022925263640531865,1.5191269151436265e-31,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.699510157108307,100376,direct_block_empirical_bernstein,0.008554473836047039,1.1794085136294326,-1.1708540397933855,1.0,0.0,-2.13937259918214,1.2311499738223468,0.8361484073102474,,,True,1.0,False
metro,ridge,category_copy,32768,4361,4362,32,30,0.00022925263640531865,1.5191269151436265e-31,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.699510157108307,100376,direct_full_u_hoeffding,0.0021555255554608355,14.748014968423638,-14.745859442868177,0.9999999360055668,-6.399443528101751e-08,-20.999611659046657,,13.852655980736017,0.329172243365857,0.32701671781039615,True,1.0,False
metro,ridge,extra_trees,32768,4361,4362,32,30,0.00022925263640531865,0.003991274885207836,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.292069137096405,100068,direct_block_empirical_bernstein,0.015087616693379376,1.1789850646622808,-1.1638974479689015,1.0,0.0,-2.1322658825223813,1.2000364602147784,0.8319532312452793,,,True,1.0,False
metro,ridge,extra_trees,32768,4361,4362,32,30,0.00022925263640531865,0.003991274885207836,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.292069137096405,100068,direct_full_u_hoeffding,0.006004202707598383,14.748014968423638,-14.742010765716039,0.9999995034689144,-4.965312088919769e-07,-20.995762981894522,,13.448163397610188,0.3319737450350519,0.3259695423274535,True,1.0,False
metro,ridge,hist_gradient_boosting,32768,4361,4362,32,30,0.00022925263640531865,0.004254362983747157,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.316430229693651,101224,direct_block_empirical_bernstein,0.016084588766284314,1.1792581047165906,-1.1631735159503063,1.0,0.0,-2.131638751054399,1.220052865506071,0.8295754082500935,,,True,1.0,False
metro,ridge,hist_gradient_boosting,32768,4361,4362,32,30,0.00022925263640531865,0.004254362983747157,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.316430229693651,101224,direct_full_u_hoeffding,0.006239135357059888,14.748014968423638,-14.741775833066578,0.9999994638521637,-5.361479800369378e-07,-20.99552804924506,,13.474985137581825,0.33186144253306055,0.32562230717600066,True,1.0,False
metro,ridge,independent_noise,32768,4361,4362,32,30,0.00022925263640531865,0.00022433896698114677,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.630965512245893,100564,direct_block_empirical_bernstein,0.0009697617037067994,1.171215955439653,-1.1702461937359463,1.0,0.0,-2.135860255666621,0.6998635805612139,0.8426248505711555,,,True,1.0,False
metro,ridge,independent_noise,32768,4361,4362,32,30,0.00022925263640531865,0.00022433896698114677,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.630965512245893,100564,direct_full_u_hoeffding,0.001237345305437787,14.748014968423638,-14.7467776231182,0.9999999789128599,-2.108714034985501e-08,-21.000529839296682,,13.774611327797174,0.2490792632072223,0.2478419179017845,True,1.0,False
