law,raw_budget,theta,theta_exact,method,raw_alpha,repetitions,rejections,rejection_rate,lower_bound_failures,mean_estimate,mean_lower_bound,mean_method_seconds,charged_raw_rows_per_repetition
balanced_anticorrelated,512,-0.0625,-1/16,stratified_hoeffding,0.05,500,0,0.0,0,-0.062384765625,-0.17056091453764288,2.652110904455185e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,stratified_hybrid,0.05,500,0,0.0,0,-0.062384765625,-0.1592449199606228,2.4682484567165376e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,binary_stratified_hoeffding,0.05,500,0,0.0,0,-0.062384765625,-0.08942880285316071,2.4135470390319823e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,binary_stratified_hybrid,0.05,500,0,0.0,0,-0.062384765625,-0.0923948528537475,2.418820559978485e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,stratified_profiled_betting64,0.05,500,0,0.0,,-0.062384765625,,0.00010246855765581131,512
balanced_anticorrelated,512,-0.0625,-1/16,binary_stratified_betting64,0.05,500,0,0.0,,-0.062384765625,,9.834487736225128e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,direct_four_row_betting64,0.05,500,0,0.0,,-0.062474609375,,0.00012673982232809067,512
balanced_anticorrelated,512,-0.0625,-1/16,binary_all_raw_pair_betting64,0.05,500,0,0.0,,-0.062544921875,,0.00010101917386054993,512
balanced_anticorrelated,2048,-0.0625,-1/16,full_u_hoeffding,0.05,500,0,0.0,0,-0.06249989814553311,-0.07151457722158666,6.945499032735825e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,full_u_eb,0.05,500,0,0.0,0,-0.06249989814553311,-0.08136826201880124,6.733360886573791e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,full_u_joint,0.05,500,0,0.0,0,-0.06249989814553311,-0.0725032605551156,6.740102171897888e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,binary_full_u_eb,0.05,500,0,0.0,0,-0.06249989814553311,-0.07246562267793893,6.705397367477417e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,binary_full_u_joint,0.05,500,0,0.0,0,-0.06249989814553311,-0.0725032605551156,6.705952435731887e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,stratified_hoeffding,0.05,500,0,0.0,0,-0.062546875,-0.11663494945632144,3.4751735627651214e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,stratified_hybrid,0.05,500,0,0.0,0,-0.062546875,-0.09073332378994996,3.277886658906937e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,binary_stratified_hoeffding,0.05,500,0,0.0,0,-0.062546875,-0.07606889361408034,3.2266020774841305e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,binary_stratified_hybrid,0.05,500,0,0.0,0,-0.062546875,-0.07572638326024489,3.23311910033226e-05,2048
balanced_anticorrelated,2048,-0.0625,-1/16,stratified_profiled_betting64,0.05,500,0,0.0,,-0.062546875,,0.00011065322160720825,2048
balanced_anticorrelated,2048,-0.0625,-1/16,binary_stratified_betting64,0.05,500,0,0.0,,-0.062546875,,0.00010664245486259461,2048
balanced_anticorrelated,2048,-0.0625,-1/16,direct_four_row_betting64,0.05,500,0,0.0,,-0.06257600911458333,,0.00012989363074302672,2048
balanced_anticorrelated,2048,-0.0625,-1/16,binary_all_raw_pair_betting64,0.05,500,0,0.0,,-0.06254248046875,,0.0001152309849858284,2048
balanced_anticorrelated,8192,-0.0625,-1/16,full_u_hoeffding,0.05,500,0,0.0,0,-0.06250021472959318,-0.06700755426761995,8.163100481033325e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,full_u_eb,0.05,500,0,0.0,0,-0.06250021472959318,-0.06721453679599336,7.94442892074585e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,full_u_joint,0.05,500,0,0.0,0,-0.06250021472959318,-0.06750189593438441,7.953597605228425e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,binary_full_u_eb,0.05,500,0,0.0,0,-0.06250021472959318,-0.06499003705757557,7.918421179056167e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,binary_full_u_joint,0.05,500,0,0.0,0,-0.06250021472959318,-0.0654547050721204,7.918955385684967e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,stratified_hoeffding,0.05,500,0,0.0,0,-0.06256884765625,-0.0896128848844107,6.276580691337585e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,stratified_hybrid,0.05,500,0,0.0,0,-0.06256884765625,-0.07165232000936968,6.069570779800415e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,binary_stratified_hoeffding,0.05,500,0,0.0,0,-0.06256884765625,-0.06932985696329017,6.0172073543071744e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,binary_stratified_hybrid,0.05,500,0,0.0,0,-0.06256884765625,-0.06790608326746479,6.0231409966945645e-05,8192
balanced_anticorrelated,8192,-0.0625,-1/16,stratified_profiled_betting64,0.05,500,0,0.0,,-0.06256884765625,,0.00013805665820837022,8192
balanced_anticorrelated,8192,-0.0625,-1/16,binary_stratified_betting64,0.05,500,0,0.0,,-0.06256884765625,,0.00013400074094533921,8192
balanced_anticorrelated,8192,-0.0625,-1/16,direct_four_row_betting64,0.05,500,0,0.0,,-0.06251361083984375,,0.0001389096826314926,8192
balanced_anticorrelated,8192,-0.0625,-1/16,binary_all_raw_pair_betting64,0.05,500,0,0.0,,-0.06252813720703125,,0.000169706791639328,8192
balanced_anticorrelated,32768,-0.0625,-1/16,full_u_hoeffding,0.05,500,0,0.0,0,-0.0625000138040188,-0.0647536835730322,0.00012824461609125138,32768
balanced_anticorrelated,32768,-0.0625,-1/16,full_u_eb,0.05,500,0,0.0,0,-0.0625000138040188,-0.06367858865404022,0.00012600692361593247,32768
balanced_anticorrelated,32768,-0.0625,-1/16,full_u_joint,0.05,500,0,0.0,0,-0.0625000138040188,-0.06389923792566804,0.00012607073783874512,32768
balanced_anticorrelated,32768,-0.0625,-1/16,binary_full_u_eb,0.05,500,0,0.0,0,-0.0625000138040188,-0.0631225361661166,0.0001257324293255806,32768
balanced_anticorrelated,32768,-0.0625,-1/16,binary_full_u_joint,0.05,500,0,0.0,0,-0.0625000138040188,-0.0632387021606295,0.00012574230879545213,32768
balanced_anticorrelated,32768,-0.0625,-1/16,stratified_hoeffding,0.05,500,0,0.0,0,-0.062490966796875,-0.07601298541095534,0.00017203669250011444,32768
balanced_anticorrelated,32768,-0.0625,-1/16,stratified_hybrid,0.05,500,0,0.0,0,-0.062490966796875,-0.06578352666215836,0.00016979847848415375,32768
balanced_anticorrelated,32768,-0.0625,-1/16,binary_stratified_hoeffding,0.05,500,0,0.0,0,-0.062490966796875,-0.06587147145039511,0.00016926777362823487,32768
balanced_anticorrelated,32768,-0.0625,-1/16,binary_stratified_hybrid,0.05,500,0,0.0,0,-0.062490966796875,-0.06484731049677207,0.0001693173497915268,32768
balanced_anticorrelated,32768,-0.0625,-1/16,stratified_profiled_betting64,0.05,500,0,0.0,,-0.062490966796875,,0.00024787477403879165,32768
balanced_anticorrelated,32768,-0.0625,-1/16,binary_stratified_betting64,0.05,500,0,0.0,,-0.062490966796875,,0.00024371013790369035,32768
balanced_anticorrelated,32768,-0.0625,-1/16,direct_four_row_betting64,0.05,500,0,0.0,,-0.062481735229492186,,0.00017422983795404434,32768
balanced_anticorrelated,32768,-0.0625,-1/16,binary_all_raw_pair_betting64,0.05,500,0,0.0,,-0.06248680114746094,,0.0003887258246541023,32768
balanced_perfectly_correlated,512,0.0625,1/16,full_u_hoeffding,0.05,500,500,1.0,0,0.06249651609894815,0.044467157946841,6.655919551849366e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,full_u_eb,0.05,500,0,0.0,0,0.06249651609894815,-0.013142196063676384,6.437433511018753e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,full_u_joint,0.05,500,500,1.0,0,0.06249651609894815,0.04248979127978312,6.438212841749191e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,binary_full_u_eb,0.05,500,500,1.0,0,0.06249651609894815,0.02254285156107005,6.403011083602906e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,binary_full_u_joint,0.05,500,500,1.0,0,0.06249651609894815,0.04248979127978312,6.403012573719024e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,stratified_hoeffding,0.05,500,0,0.0,0,0.063021484375,-0.04515466453764283,2.82115638256073e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,stratified_hybrid,0.05,500,0,0.0,0,0.063021484375,-0.03384507613651712,2.6298068463802337e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,binary_stratified_hoeffding,0.05,500,500,1.0,0,0.063021484375,0.03597744714683928,2.5713764131069183e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,binary_stratified_hybrid,0.05,500,500,1.0,0,0.063021484375,0.03301139714625247,2.578052133321762e-05,512
balanced_perfectly_correlated,512,0.0625,1/16,stratified_profiled_betting64,0.05,500,500,1.0,,0.063021484375,,0.0008528633713722229,512
balanced_perfectly_correlated,512,0.0625,1/16,binary_stratified_betting64,0.05,500,500,1.0,,0.063021484375,,0.0009547822251915932,512
balanced_perfectly_correlated,512,0.0625,1/16,direct_four_row_betting64,0.05,500,500,1.0,,0.06254720052083333,,0.0010155702754855156,512
balanced_perfectly_correlated,512,0.0625,1/16,binary_all_raw_pair_betting64,0.05,500,500,1.0,,0.0628095703125,,0.0010061899051070212,512
balanced_perfectly_correlated,2048,0.0625,1/16,full_u_hoeffding,0.05,500,500,1.0,0,0.06249668090402877,0.0534820018279752,7.065186649560928e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,full_u_eb,0.05,500,500,1.0,0,0.06249668090402877,0.04361868638747251,6.839071959257125e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,full_u_joint,0.05,500,500,1.0,0,0.06249668090402877,0.05249331849444626,6.84279277920723e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,binary_full_u_eb,0.05,500,500,1.0,0,0.06249668090402877,0.05252132572833481,6.80607408285141e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,binary_full_u_joint,0.05,500,500,1.0,0,0.06249668090402877,0.05249331849444626,6.806962937116623e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,stratified_hoeffding,0.05,500,500,1.0,0,0.06244580078125,0.008357726324928585,3.93151044845581e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,stratified_hybrid,0.05,500,500,1.0,0,0.06244580078125,0.03425924420708328,3.721665591001511e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,binary_stratified_hoeffding,0.05,500,500,1.0,0,0.06244580078125,0.048923782167169645,3.664281964302063e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,binary_stratified_hybrid,0.05,500,500,1.0,0,0.06244580078125,0.04926618473678836,3.671310096979141e-05,2048
balanced_perfectly_correlated,2048,0.0625,1/16,stratified_profiled_betting64,0.05,500,500,1.0,,0.06244580078125,,0.0009734262451529502,2048
balanced_perfectly_correlated,2048,0.0625,1/16,binary_stratified_betting64,0.05,500,500,1.0,,0.06244580078125,,0.001065495565533638,2048
balanced_perfectly_correlated,2048,0.0625,1/16,direct_four_row_betting64,0.05,500,500,1.0,,0.06239103190104167,,0.0011175471171736718,2048
balanced_perfectly_correlated,2048,0.0625,1/16,binary_all_raw_pair_betting64,0.05,500,500,1.0,,0.062424560546875,,0.0011303580030798913,2048
balanced_perfectly_correlated,8192,0.0625,1/16,full_u_hoeffding,0.05,500,500,1.0,0,0.06249923559632905,0.05799189605830227,8.269743621349334e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,full_u_eb,0.05,500,500,1.0,0,0.06249923559632905,0.05778283091846537,8.045224100351334e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,full_u_joint,0.05,500,500,1.0,0,0.06249923559632905,0.0574975543915378,8.04491639137268e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,binary_full_u_eb,0.05,500,500,1.0,0,0.06249923559632905,0.06000733065688314,8.01154226064682e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,binary_full_u_joint,0.05,500,500,1.0,0,0.06249923559632905,0.059542475396636596,8.012120425701141e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,stratified_hoeffding,0.05,500,500,1.0,0,0.0625057373046875,0.035461700076526784,7.843366265296936e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,stratified_hybrid,0.05,500,500,1.0,0,0.0625057373046875,0.0534221408830062,7.618040591478348e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,binary_stratified_hoeffding,0.05,500,500,1.0,0,0.0625057373046875,0.05574472799764734,7.563566416502e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,binary_stratified_hybrid,0.05,500,500,1.0,0,0.0625057373046875,0.057168377624911074,7.570584118366242e-05,8192
balanced_perfectly_correlated,8192,0.0625,1/16,stratified_profiled_betting64,0.05,500,500,1.0,,0.0625057373046875,,0.001111430563032627,8192
balanced_perfectly_correlated,8192,0.0625,1/16,binary_stratified_betting64,0.05,500,500,1.0,,0.0625057373046875,,0.0012084117829799653,8192
balanced_perfectly_correlated,8192,0.0625,1/16,direct_four_row_betting64,0.05,500,500,1.0,,0.06248946126302083,,0.0012120543718338013,8192
balanced_perfectly_correlated,8192,0.0625,1/16,binary_all_raw_pair_betting64,0.05,500,500,1.0,,0.062552001953125,,0.0012827933505177498,8192
balanced_perfectly_correlated,32768,0.0625,1/16,full_u_hoeffding,0.05,500,500,1.0,0,0.06249995321963644,0.06024628345062304,0.00012929102033376694,32768
balanced_perfectly_correlated,32768,0.0625,1/16,full_u_eb,0.05,500,500,1.0,0,0.06249995321963644,0.061321166343296395,0.0001270129233598709,32768
balanced_perfectly_correlated,32768,0.0625,1/16,full_u_joint,0.05,500,500,1.0,0,0.06249995321963644,0.0611004980085752,0.00012701331824064254,32768
balanced_perfectly_correlated,32768,0.0625,1/16,binary_full_u_eb,0.05,500,500,1.0,0,0.06249995321963644,0.06187721883122003,0.00012668447196483612,32768
