categories,validation_pairs,mass,fit_error,delta,method,repetitions,noncoverage,median_slack,mean_slack,median_upper
2,8192,one_heavy,exact,0.05,split_balanced,2000,0,0.0007741546628555361,0.0007875347367575082,0.0007741546628555361
2,8192,one_heavy,exact,0.05,pooled_fixed,2000,0,0.0008393594487578144,0.0008530525727827292,0.0008393594487578144
2,8192,one_heavy,exact,0.05,pooled_grid,2000,0,0.0009002419212252308,0.0009187122563956114,0.0009002419212252308
2,8192,one_heavy,exact,0.05,pooled_mixture,2000,0,0.0008791513167388638,0.0008932044725805977,0.0008791513167388638
2,8192,one_heavy,exact,0.0002299605781865966,rectangle,2000,0,0.001478541340354024,0.0014992032051272689,0.001478541340354024
2,8192,one_heavy,exact,0.0002299605781865966,split_original,2000,0,0.0013828807781249462,0.0013986942092556577,0.0013828807781249462
2,8192,one_heavy,exact,0.0002299605781865966,split_balanced,2000,0,0.0013801272584703025,0.0013974614746763132,0.0013801272584703025
2,8192,one_heavy,exact,0.0002299605781865966,pooled_fixed,2000,0,0.0014802502344676066,0.001497777921652564,0.0014802502344676066
2,8192,one_heavy,exact,0.0002299605781865966,pooled_grid,2000,0,0.0014983145188534309,0.001517435719143516,0.0014983145188534309
2,8192,one_heavy,exact,0.0002299605781865966,pooled_mixture,2000,0,0.001483620468342843,0.0015014297200406314,0.001483620468342843
2,8192,one_heavy,same_direction,0.05,rectangle,2000,0,0.0030203538532073667,0.0030354902887372963,0.005520353853207367
2,8192,one_heavy,same_direction,0.05,split_original,2000,0,0.0027001468278170663,0.002724003497081421,0.005200146827817067
2,8192,one_heavy,same_direction,0.05,split_balanced,2000,0,0.002716615419834332,0.0027234854732992703,0.005216615419834333
2,8192,one_heavy,same_direction,0.05,pooled_fixed,2000,0,0.005815582137956978,0.00586298930333569,0.008315582137956978
2,8192,one_heavy,same_direction,0.05,pooled_grid,2000,0,0.003416824746905899,0.0034391349383888574,0.005916824746905899
2,8192,one_heavy,same_direction,0.05,pooled_mixture,2000,0,0.0033398191660142036,0.00335874898544523,0.005839819166014204
2,8192,one_heavy,same_direction,0.0002299605781865966,rectangle,2000,0,0.004731591778427226,0.004749826972112274,0.007231591778427226
2,8192,one_heavy,same_direction,0.0002299605781865966,split_original,2000,0,0.004325322957658298,0.004352689131144515,0.006825322957658298
2,8192,one_heavy,same_direction,0.0002299605781865966,split_balanced,2000,0,0.004346664460936487,0.004352045595436946,0.0068466644609364875
2,8192,one_heavy,same_direction,0.0002299605781865966,pooled_fixed,2000,0,0.009058991420298125,0.009127800617175197,0.011558991420298124
2,8192,one_heavy,same_direction,0.0002299605781865966,pooled_grid,2000,0,0.004822193121151532,0.004849814909363202,0.007322193121151533
2,8192,one_heavy,same_direction,0.0002299605781865966,pooled_mixture,2000,0,0.004848240354542022,0.004869321886074371,0.007348240354542022
2,8192,one_heavy,opposite_direction,0.05,rectangle,2000,0,0.006671363321769952,0.006685178713140067,-0.01582863667823004
2,8192,one_heavy,opposite_direction,0.05,split_original,2000,0,0.0072204403555259635,0.007209742320655916,-0.015279559644474028
2,8192,one_heavy,opposite_direction,0.05,split_balanced,2000,0,0.007198621018098974,0.007200128542674532,-0.015301378981901018
2,8192,one_heavy,opposite_direction,0.05,pooled_fixed,2000,0,0.046396270446330476,0.04638981235380371,0.02389627044633048
2,8192,one_heavy,opposite_direction,0.05,pooled_grid,2000,0,0.009525008348754032,0.009540281161386952,-0.01297499165124596
2,8192,one_heavy,opposite_direction,0.05,pooled_mixture,2000,0,0.009719312016963442,0.009734012185658315,-0.01278068798303655
2,8192,one_heavy,opposite_direction,0.0002299605781865966,rectangle,2000,0,0.009197174620211806,0.009211581717558367,-0.013302825379788186
2,8192,one_heavy,opposite_direction,0.0002299605781865966,split_original,2000,0,0.011178475339650346,0.0111692989309436,-0.011321524660349646
2,8192,one_heavy,opposite_direction,0.0002299605781865966,split_balanced,2000,0,0.011163481109264496,0.011160353387204825,-0.011336518890735496
2,8192,one_heavy,opposite_direction,0.0002299605781865966,pooled_fixed,2000,0,0.07079510124814412,0.07077963832273554,0.04829510124814412
2,8192,one_heavy,opposite_direction,0.0002299605781865966,pooled_grid,2000,0,0.013094351585079142,0.0131005029520361,-0.00940564841492085
2,8192,one_heavy,opposite_direction,0.0002299605781865966,pooled_mixture,2000,0,0.01315912180540284,0.013169952030972508,-0.009340878194597153
8,512,balanced,exact,0.05,rectangle,2000,0,0.06250509675793425,0.06277029557186573,0.06250509675793425
8,512,balanced,exact,0.05,split_original,2000,0,0.023413023883170195,0.023624122862458453,0.023413023883170195
8,512,balanced,exact,0.05,split_balanced,2000,0,0.023124460226453245,0.023420462505158803,0.023124460226453245
8,512,balanced,exact,0.05,pooled_fixed,2000,0,0.024432339057868346,0.024612881687609226,0.024432339057868346
8,512,balanced,exact,0.05,pooled_grid,2000,0,0.026779001384002285,0.027008618219948814,0.026779001384002285
8,512,balanced,exact,0.05,pooled_mixture,2000,0,0.025976956401365964,0.026162002578878026,0.025976956401365964
8,512,balanced,exact,0.0002299605781865966,rectangle,2000,0,0.10755261360803052,0.10801684767104981,0.10755261360803052
8,512,balanced,exact,0.0002299605781865966,split_original,2000,0,0.03964531255456273,0.03980612130408772,0.03964531255456273
8,512,balanced,exact,0.0002299605781865966,split_balanced,2000,0,0.03917739739539133,0.039470536317814095,0.03917739739539133
