task,baseline,candidate,budget_method,bias,true_bias,mean,U_radius,U_lower,U_p,betting_p,bias_covers,queries,known_category_metadata_rows,center,linear_a_radius,linear_b_radius,product_radius,absent_allowance,upper,delta,categories_used,categories_absent,information_contract,U_BY,U_retained,betting_BY,betting_retained
appliances,seasonal_day,category_copy,known_mass_aggregate,0.0049847275290589,-3.959853281282102e-06,1.701784889833053e-06,0.0046904178125358,-0.0096734435567049,1.0,1.0,True,32768,336.0,7.209037259303124e-06,0.0015208002828486,0.001294688201667,0.0021620300072839,0.0,0.0049847275290589,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
appliances,seasonal_day,category_copy,oracle_diagnostic,-3.959853281282102e-06,-3.959853281282102e-06,1.701784889833053e-06,0.0046904178125358,-0.0046847561743647,1.0,0.8853055029251906,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
appliances,seasonal_day,independent_noise,original_rectangle,0.0392104323200448,-5.639773559680883e-05,0.0013221414796053,0.0055220074745475,-0.0434102983149869,1.0,1.0,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
appliances,seasonal_day,independent_noise,known_mass_rectangle,0.0277803903339625,-5.639773559680883e-05,0.0013221414796053,0.0055220074745475,-0.0319802563289046,1.0,1.0,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
appliances,seasonal_day,independent_noise,known_mass_aggregate,0.0045067950915685,-5.639773559680883e-05,0.0013221414796053,0.0055220074745475,-0.0087066610865106,1.0,1.0,True,32768,336.0,-0.0004179811867321,0.0015208002828486,0.001241945988168,0.0021620300072839,0.0,0.0045067950915685,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
appliances,seasonal_day,independent_noise,oracle_diagnostic,-5.639773559680883e-05,-5.639773559680883e-05,0.0013221414796053,0.0055220074745475,-0.0041434682593453,1.0,1.0,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,persistence,original_rectangle,0.0363827987740277,7.245005586676111e-05,0.001175083846362,0.004982152528793,-0.0401898674564587,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,persistence,known_mass_rectangle,0.0276682235351747,7.245005586676111e-05,0.001175083846362,0.004982152528793,-0.0314752922176057,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,persistence,known_mass_aggregate,0.0057762995295096,7.245005586676111e-05,0.001175083846362,0.004982152528793,-0.0095833682119406,1.0,1.0,True,32768,4362.0,-0.0001055463838,0.0018314918040233,0.0012638380345783,0.0027865160747079,0.0,0.0057762995295096,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,persistence,oracle_diagnostic,7.245005586676111e-05,7.245005586676111e-05,0.001175083846362,0.004982152528793,-0.0038795187382978,1.0,0.8441619563741845,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,seasonal_day,original_rectangle,0.0372631757339809,8.084950255568306e-05,0.0007709669357239,0.0051116395546388,-0.0416038483528958,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,seasonal_day,known_mass_rectangle,0.0284982649730112,8.084950255568306e-05,0.0007709669357239,0.0051116395546388,-0.0328389375919261,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,seasonal_day,known_mass_aggregate,0.0057053932928417,8.084950255568306e-05,0.0007709669357239,0.0051116395546388,-0.0100460659117566,1.0,1.0,True,32768,4362.0,3.404930567886328e-05,0.0018314918040233,0.0010533361084316,0.0027865160747079,0.0,0.0057053932928417,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,seasonal_day,oracle_diagnostic,8.084950255568306e-05,8.084950255568306e-05,0.0007709669357239,0.0051116395546388,-0.0044215221214706,1.0,0.729680037143123,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,seasonal_week,original_rectangle,0.0377154563339152,4.246633897126974e-05,0.0011555677205867,0.004983480672814,-0.0415433692861425,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,seasonal_week,known_mass_rectangle,0.0291611534298447,4.246633897126974e-05,0.0011555677205867,0.004983480672814,-0.0329890663820721,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,seasonal_week,known_mass_aggregate,0.005897727051233,4.246633897126974e-05,0.0011555677205867,0.004983480672814,-0.0097256400034603,1.0,1.0,True,32768,4362.0,-3.589976636385952e-05,0.0018314918040233,0.0013156189388656,0.0027865160747079,0.0,0.005897727051233,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,seasonal_week,oracle_diagnostic,4.246633897126974e-05,4.246633897126974e-05,0.0011555677205867,0.004983480672814,-0.0038703792911986,1.0,0.7782545672446164,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,ridge_full,original_rectangle,0.0361598346844225,5.870440647663937e-05,0.000322601677945,0.0050709819547709,-0.0409082149612483,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,ridge_full,known_mass_rectangle,0.0277235247967949,5.870440647663937e-05,0.000322601677945,0.0050709819547709,-0.0324719050736208,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
